Date,Monte Carlo,DL,Dynamic DL
2019-10-15,-0.10838244333720305,-0.1812317647029321,0.5952430653584118
2019-10-16,-0.8351242355120179,-3.2099070995296546,-1.934842929994835
2019-10-17,1.1176183770301813,-1.638395945418579,-0.2589061671930083
2019-10-18,6.481872339326854,3.5188034705866507,4.698375057898177
2019-10-22,6.681088066897265,1.9017870375550496,4.759267056223554
2019-10-23,9.66696540439718,2.664800278175037,6.220411635474025
2019-10-24,11.084358232585238,3.045501703309226,6.943137405428103
2019-10-25,10.793935966728437,2.755573084683455,6.758813356169319
2019-10-29,11.49937527842519,3.8418322093238837,7.7221143574650855
2019-10-30,12.47102603906614,3.039812179542035,8.400621546264034
2019-10-31,14.386636509945344,5.588498581588256,10.620655625638017
2019-11-01,13.352853533182003,4.6788619112243675,9.522778070150183
2019-11-04,13.226616406543549,5.205766881442972,9.918485906106454
2019-11-05,9.854893528042396,1.7949310491256056,6.989400356998628
2019-11-06,9.328953750491516,0.0319592676419744,6.661610141683664
2019-11-07,8.987302707813164,-1.2942058034158992,6.092537627615702
2019-11-08,7.507550023953553,-2.724087166627563,5.33513811075836
2019-11-11,13.89562017027143,5.635689897431892,11.236717312525498
2019-11-13,13.204613902806702,5.1784534745895945,10.734425433390033
2019-11-14,14.678259241515544,8.955037782109784,11.679764299888921
2019-11-15,18.911485357184883,11.160482348213796,13.963751858758586
2019-11-18,19.501017825000545,12.439338729420394,15.221756547081387
2019-11-19,17.07003097310163,9.47519651050918,13.557348238106663
2019-11-20,16.82313496269979,7.592748033106335,13.401111549821605
2019-11-21,16.156618141385586,7.252572539298208,12.755929027357725
2019-11-22,14.731960489864932,7.2093763442503915,12.082212372992856
2019-11-25,17.118399280346917,9.162464550731405,14.064882366124872
2019-11-26,17.13851269846929,9.061999841055302,13.50030021080397
2019-11-27,19.46004879612375,11.269618669421424,15.626365139253068
2019-11-28,21.083165265798797,15.134684404095731,18.597519156386472
2019-11-29,24.97883286658458,23.749309747348835,27.78735498552735
2019-12-02,24.53659096001827,24.218064405641773,28.802071072794508
2019-12-03,22.661321486446454,18.140079297040874,23.063407281190862
2019-12-04,26.54389388654877,23.1808138161942,26.48634379641727
2019-12-05,26.605861429175796,20.992146327937053,24.70116935978091
2019-12-06,23.84006132213947,17.909096383201664,21.648920191383997
2019-12-09,24.290801306984566,19.23404515040637,22.05947241991733
2019-12-10,23.168631356419887,19.588873450488432,22.198443825887033
2019-12-11,24.06906742177091,18.980498427404473,22.295790602092957
2019-12-12,24.150431423887454,19.10526990898608,22.984404762037705
2019-12-13,27.769916953349192,22.806437478141344,25.2952555703469
2019-12-16,28.076071630174653,22.895142636272293,24.63488596411016
2019-12-17,27.878866492433836,21.87699258572072,24.02242250659841
2019-12-18,27.330885664338172,22.132073882570793,22.990154965886262
2019-12-19,27.532344285423473,22.759640518948153,23.02677649524774
2019-12-20,28.21470744971093,23.50000498626983,24.050619677123123
2019-12-23,27.68980086887995,23.325991811392164,22.89662406512474
2019-12-24,31.234446290016045,29.43076549350276,28.871543657079325
2019-12-26,31.86987342953615,30.755470463066615,28.513624627863067
2019-12-27,33.18881672246686,31.888388848826875,29.965515346267175
2019-12-30,36.399641109722474,33.465585673091056,32.654703953442514
2019-12-31,37.98376136040942,37.243840839239155,37.35708726810961
2020-01-01,42.378163941562256,47.30706860064935,47.74329458018675
2020-01-02,43.7681567042945,51.43196817426099,50.19098641716552
2020-01-03,43.292041076221494,48.42651247830505,46.71638764919723
2020-01-06,36.85070343213462,38.680282717817086,36.0301853219889
2020-01-07,43.29635678780038,50.51031913636068,44.99064198640981
2020-01-08,40.76715359265858,46.09271109374289,44.38076063250362
2020-01-09,43.191217247931725,48.990859089491494,47.66028689284041
2020-01-10,44.662463059261185,47.25336129775834,45.122870249240094
2020-01-13,49.24859975947443,51.987159210355934,53.236974415520415
2020-01-14,51.67210697304183,55.02548779690551,56.84897279867354
2020-01-15,54.61124271801891,59.497219078909765,61.78416028681111
2020-01-16,57.43640979100044,60.19424387685171,63.33818583500405
2020-01-17,58.90352231135782,61.50097993706823,64.8668223839263
2020-01-20,56.730310859190155,59.430451819623606,59.4434882143605
2020-01-21,52.927359047192674,55.95662870126166,55.39448253757758
2020-01-22,51.45297158793958,53.93666966930918,52.36010481873187
2020-01-23,55.858814512657545,60.1135038795924,58.53683039890327
2020-01-24,58.024510884295886,62.55860188601313,60.94674545015217
2020-01-27,58.38080280164473,63.57396180506464,60.356918107279526
2020-01-28,61.32614608624579,64.81283649883099,60.5145250197052
2020-01-29,64.43985086310131,65.47690022851361,62.586848884580924
2020-01-30,65.4499382644354,67.14295400170852,61.95850739307119
2020-01-31,70.26869736933016,72.57016526796536,66.09869939217474
2020-02-03,74.30920875356013,75.07849108050068,67.85098427353812
2020-02-04,84.02336979096567,82.63559469952047,76.18228704207759
2020-02-05,90.61901653936683,88.82658670423602,84.48391742400932
2020-02-06,92.53911501997432,88.36243415217558,80.97270162741037
2020-02-07,95.3871677690688,89.74224134096501,83.32221998628845
2020-02-10,93.18303186231653,88.13834196947094,81.28891143326307
2020-02-11,90.8313645101758,85.34467912944949,78.47236661923343
2020-02-12,91.24586320518425,85.05167225268909,82.2738815563138
2020-02-13,102.24476790477969,92.20834734314441,89.61982451172918
2020-02-14,97.57128569032749,85.59223774020197,80.36166228416864
2020-02-17,95.9503926407103,85.02597065955807,78.99176283794273
2020-02-18,102.47165385058483,87.86986135992355,87.01577495754049
2020-02-19,113.13836101109916,94.63685913013639,89.47045875041168
