Portfolio,Return,Volatility,Sharpe Ratio,VaR,Portfolio Beta,Treynor Ratio,Jensen Alpha
Portfolio 1,0.900515384,0.325621381,2.58065174,0.143006776,0.892660369,0.941360693,0.760399808
Portfolio 2,0.890909281,0.312729455,2.656319281,0.163391778,0.923607769,0.899417814,0.748023133
