,portfolio_id,Date,monte_carlo,dl,dynamic_dl
0,pid2,2019-10-15,-1.0443340132114804,-0.18931533030497347,-0.42054507606794655
1,pid2,2019-10-16,-2.5618673788726785,-3.2058220243762428,-2.0683375957773835
2,pid2,2019-10-17,0.005186837613506216,-1.6333117604847995,-0.19043905117160437
3,pid2,2019-10-18,7.063611315192195,3.5128937980957415,5.10496680197735
4,pid2,2019-10-22,10.020183026918806,1.8208875136212503,4.76682690051052
5,pid2,2019-10-23,14.568706911928746,2.59741672668883,7.3152773535216316
6,pid2,2019-10-24,15.76739466667162,2.9780095134676023,8.332307674223241
7,pid2,2019-10-25,14.918922950786426,2.683916061386744,7.486412707048451
8,pid2,2019-10-29,14.501334904873998,3.771989648645306,8.213349035094373
9,pid2,2019-10-30,14.790761388604576,2.9909203323239946,9.017123179742498
10,pid2,2019-10-31,16.20365415156689,5.598875711745115,11.65616775504909
11,pid2,2019-11-01,15.966210618707304,4.68026905011085,10.359886886392788
12,pid2,2019-11-04,15.521078977525033,5.226158687865436,10.586521262787175
13,pid2,2019-11-05,11.994396712822603,1.8051429490738662,6.94928806756462
14,pid2,2019-11-06,11.21144163001114,0.06804455950125779,5.53908520198903
15,pid2,2019-11-07,10.604171451713452,-1.243818448662412,4.85087351530987
16,pid2,2019-11-08,9.239658514629198,-2.682832608488646,3.6878753466106646
17,pid2,2019-11-11,18.81644161941268,5.6424333102491255,12.087041891910445
18,pid2,2019-11-13,17.66192921103141,5.149659475869669,12.824134674860288
19,pid2,2019-11-14,18.509160681046435,8.9263728004639,14.564245405559621
20,pid2,2019-11-15,23.583171891769947,11.141352251096247,18.37993696535592
21,pid2,2019-11-18,23.988013688804017,12.43459408654338,19.382753500358035
22,pid2,2019-11-19,21.007523539017214,9.4797906574129,17.186042010588913
23,pid2,2019-11-20,20.188166013536872,7.613404350145436,16.68946010844645
24,pid2,2019-11-21,19.093850652438196,7.260258485697773,15.925408290853918
25,pid2,2019-11-22,18.0858168264786,7.1946914564476785,15.124195337260948
26,pid2,2019-11-25,20.400648913610148,9.151679389141382,17.222228688909524
27,pid2,2019-11-26,20.805795731539536,9.042005705511984,17.396867078779216
28,pid2,2019-11-27,23.206576403632607,11.261674557940173,19.83234568655214
29,pid2,2019-11-28,24.659712802291082,15.13461035108184,21.916593405076426
30,pid2,2019-11-29,28.850971849353154,23.72590785768632,26.762999914041984
31,pid2,2019-12-02,27.840878645134346,24.176172781944157,26.39277072749056
32,pid2,2019-12-03,25.670700803078837,18.11926733657781,23.817717095113515
33,pid2,2019-12-04,29.46185998411226,23.154648798781697,27.83526550665915
34,pid2,2019-12-05,29.098127095397956,20.969599545376738,27.344471889563604
35,pid2,2019-12-06,26.305499076879123,17.895424615150205,24.39536171920064
36,pid2,2019-12-09,27.205064776509925,19.228000320184076,25.184706661476238
37,pid2,2019-12-10,26.082371793183587,19.585488431136216,23.9632158976693
38,pid2,2019-12-11,26.69949351876086,18.98611325502753,24.594517561182936
39,pid2,2019-12-12,27.23388305293656,19.11361751764982,25.231976650747267
40,pid2,2019-12-13,31.521948388973374,22.811496991198425,28.93188181868189
41,pid2,2019-12-16,31.434477474051214,22.888152029518785,28.441149704585353
42,pid2,2019-12-17,30.77898730742798,21.887871452119835,28.038161715864927
43,pid2,2019-12-18,30.065443435300686,22.113910664541365,27.22303916554015
44,pid2,2019-12-19,29.70650489578968,22.73237092059625,27.075004458071568
45,pid2,2019-12-20,30.09065265737822,23.465847730169983,27.653910311664994
46,pid2,2019-12-23,29.957995000960782,23.290590798555318,27.79551469381065
47,pid2,2019-12-24,34.19488117270024,29.378583117697055,31.68533426358293
48,pid2,2019-12-26,34.85953118402979,30.688717634773756,32.406836716630764
49,pid2,2019-12-27,36.14375839821148,31.837506090265492,33.781147539647876
50,pid2,2019-12-30,40.7559893649606,33.42340026757282,37.157420293770215
51,pid2,2019-12-31,42.38948750735758,37.18931106220792,39.17777090125753
52,pid2,2020-01-01,46.56226637088924,47.2222665000823,44.40502518625584
53,pid2,2020-01-02,47.80611876868242,51.32644008153665,46.052775224175036
54,pid2,2020-01-03,47.36000161325772,48.325544071904815,45.053649001853735
55,pid2,2020-01-06,40.24572674786651,38.5954559997387,37.708886060114565
56,pid2,2020-01-07,47.53129100310261,50.37535893780301,45.08855181713439
57,pid2,2020-01-08,44.09732877342492,45.96322573558468,41.92017640311534
58,pid2,2020-01-09,47.16634186746469,48.8914525252939,44.92938598581414
