,IRCTC,NESTLEIND,INDIAMART,TITAN,INFY,TATACONSUM,TCS,HINDUNILVR,ATGL,DIVISLAB,DIXON,POLYCAB
Portfolio 1,0.18249918376887908,0.03054422229457202,0.09383827207312476,0.004546309431278787,0.19015536668381278,0.07980084042794446,0.0060753181033054385,0.017566640815955673,0.22812383819098395,0.1668500082101431,,
Portfolio 2,0.2535148721636869,0.01771843454368551,0.030574259450798627,,0.03548159135089169,0.029798029325013825,0.004872375082461889,,0.1641108531114812,0.17995216743120476,0.2483138354966416,0.035663582044134036
