,Return,Volatility,Sharpe Ratio,VaR,Portfolio Beta,Treynor Ratio,Jensen Alpha
Portfolio 1,0.7683321496398868,0.2560013150182313,2.7661270005173866,0.1727840346955648,0.7170620335302216,0.9875465671409608,0.6445678851017999
Portfolio 2,0.9052739549428414,0.2586098271985971,3.2677565431180398,0.3036575332333158,0.6721960753688243,1.2571837086063935,0.7854868520727422
