Portfolio,IRCTC,NESTLEIND,INDIAMART,TITAN,INFY,TATACONSUM,TCS,DIXON,HINDUNILVR,ATGL,DIVISLAB,POLYCAB
Portfolio 1,0.26313,0.03165,0.33668,0.00018,0.01454,0.02776,0.01332,,0.01153,0.28391,0.0173,
Portfolio 2,0.24072,0.01554,0.3041,,0.00401,0.00021,0.00017,0.08996,,0.24679,0.00722,0.09128
