Portfolio,INFY,IRCTC,TATACONSUM,HINDUNILVR,TCS,ATGL,DIVISLAB,DIXON,INDIAMART,TITAN,NESTLEIND
Portfolio 1,0.00446,0.22985,0.0221,0.01616,0.00019,0.37164,0.00746,,0.32087,0.00231,0.02495
Portfolio 2,0.00415,0.208,0.01412,0.00961,0.00019,0.34796,0.00688,0.09993,0.29102,,0.01814
