Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,AUBANK,AARTIIND,ATGL,ABCAPITAL,ABFRL,AJANTPHARM,APLLTD,AMARAJABAT,APOLLOTYRE,ASHOKLEY,BALKRISIND,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BHARATFORG,BHEL,BBTC,CESC,CANBK,CASTROLIND,CHOLAFIN,CUB,COFORGE,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DALBHARAT,DEEPAKNTR,DHANI,DIXON,LALPATHLAB,EMAMILTD,ENDURANCE,ESCORTS,EXIDEIND,FEDERALBNK,FORTIS,GMRINFRA,GLENMARK,GODREJAGRO,GODREJIND,GODREJPROP,GUJGASLTD,GSPL,HAL,HINDZINC,ISEC,IDFCFIRSTB,IBULHSGFIN,INDIAMART,INDHOTEL,IRCTC,IPCALAB,JSWENERGY,JINDALSTEL,L&TFH,LTTS,LICHSGFIN,LAURUSLABS,MGL,M&MFIN,MANAPPURAM,MFSL,MINDTREE,MPHASIS,NATCOPHARM,NAVINFLUOR,NAM-INDIA,OBEROIRLTY,OIL,PIIND,PAGEIND,PFIZER,POLYCAB,PFC,PRESTIGE,RBLBANK,RECLTD,SRF,SANOFI,SRTRANSFIN,SAIL,SUNTV,SYNGENE,TVSMOTOR,TATACHEM,TATAELXSI,TATAPOWER,RAMCOCEM,TORNTPOWER,TRENT,UNIONBANK,VGUARD,VBL,IDEA,VOLTAS,WHIRLPOOL,ZEEL
2016-06-23,203.08152770996094,952.951416015625,515.8085327148438,2379.6953125,762.673095703125,1999.6988525390625,256.84552001953125,324.6167907714844,1208.3087158203125,466.225341796875,223.02223205566406,1062.4154052734375,3030.987548828125,1684.9600830078125,645.1045532226562,355.9042053222656,577.7044677734375,,2626.16357421875,120.47127532958984,807.2161254882812,1149.6754150390625,212.8938751220703,205.9125518798828,74.88285827636719,1084.8507080078125,528.8306274414062,128.16543579101562,745.5179443359375,900.5195922851562,657.8173217773438,3936.306396484375,100.36798095703125,5934.50830078125,116.95642852783203,128.0889892578125,473.1886291503906,,14140.26171875,213.62789916992188,726.5187377929688,1199.7152099609375,117.07711791992188,487.7524719238281,279.063232421875,471.41522216796875,378.225341796875,347.0415954589844,3292.775390625,207.5063018798828,,119.94253540039062,,,134.64999389648438,1395.7044677734375,517.5263671875,825.9382934570312,133.66714477539062,85.18604278564453,323.6358947753906,151.10633850097656,96.4000015258789,502.4966735839844,102.14933013916016,362.60443115234375,74.20903778076172,394.01898193359375,441.422119140625,206.05955505371094,144.0657196044922,179.08163452148438,89.75906372070312,481.1475524902344,397.59283447265625,219.39596557617188,133.53785705566406,720.8101806640625,,80.62374114990234,19.99587631225586,,808.2970581054688,490.9594421386719,,201.30897521972656,151.70651245117188,53.616477966308594,159.4499969482422,12.550000190734863,760.8186645507812,,368.373291015625,338.0,102.44169616699219,127.91092681884766,,111.31732940673828,,43.726497650146484,537.3920288085938,,120.9260025024414,,465.7307434082031,72.58085632324219,65.5999984741211,72.10099029541016,,447.0392761230469,,,311.3601379394531,57.447784423828125,504.7459716796875,585.3693237304688,471.3025817871094,525.3670043945312,387.0367126464844,,275.53973388671875,135.78382873535156,675.109130859375,12946.7939453125,1722.9873046875,,65.52892303466797,180.97830200195312,,56.711490631103516,1214.2410888671875,3373.30224609375,1080.1390380859375,42.53141403198242,321.17584228515625,199.0728302001953,286.18975830078125,364.1656188964844,818.7061157226562,61.53071212768555,538.3001098632812,156.23072814941406,165.64959716796875,126.30000305175781,95.0492172241211,,60.82640075683594,304.37567138671875,785.13818359375,436.14752197265625
2016-06-24,197.93463134765625,958.2286987304688,500.2283630371094,2403.74365234375,751.8922729492188,2074.3291015625,254.236572265625,316.6526794433594,1211.76025390625,467.0093078613281,219.2999267578125,1059.7659912109375,3013.498779296875,1685.2083740234375,643.8291625976562,342.9820251464844,564.0155029296875,,2622.177734375,114.05391693115234,797.6986694335938,1128.6759033203125,204.1006317138672,202.39732360839844,74.39464569091797,1077.4761962890625,521.3887939453125,126.50546264648438,732.1989135742188,859.657958984375,664.5880737304688,3843.247802734375,100.43529510498047,5994.2509765625,112.0854721069336,127.39397430419922,459.1925048828125,,13948.2109375,207.4414825439453,728.5942993164062,1167.334228515625,114.76789855957031,449.2180480957031,261.2640075683594,449.856201171875,380.466552734375,345.8570861816406,3245.425048828125,204.35888671875,,119.35546112060547,,,131.14999389648438,1427.180419921875,518.8257446289062,810.8701171875,132.63304138183594,82.65279388427734,316.7424011230469,146.09262084960938,94.94999694824219,501.2492370605469,100.04930114746094,362.5562744140625,71.66368865966797,384.9782409667969,446.22686767578125,203.78024291992188,142.3329620361328,177.97653198242188,87.23063659667969,467.4175109863281,399.7252502441406,223.49124145507812,132.13626098632812,709.1199340820312,,78.61174011230469,19.32615852355957,,791.6546020507812,495.3050537109375,,206.43157958984375,153.93411254882812,52.7069091796875,155.8000030517578,12.0,750.9098510742188,,373.1593017578125,328.70001220703125,101.17144775390625,128.2450408935547,,107.94505310058594,,43.24493408203125,515.8838500976562,,119.55133056640625,,452.2706298828125,71.86134338378906,62.349998474121094,69.94371795654297,,437.02777099609375,,,300.2123107910156,59.805545806884766,533.6071166992188,585.3250732421875,470.9162902832031,547.0291748046875,384.78277587890625,,266.453857421875,131.626220703125,689.2074584960938,13037.2939453125,1685.925537109375,,63.80034255981445,174.14157104492188,,55.149845123291016,1216.1337890625,3375.181396484375,1078.2119140625,41.02973556518555,309.4444580078125,200.83847045898438,287.9823303222656,358.7635498046875,789.0573120117188,61.19403076171875,534.8186645507812,154.60800170898438,165.6397705078125,122.05000305175781,94.47727966308594,,59.59909439086914,292.9200744628906,789.1130981445312,436.58563232421875
2016-06-27,199.84634399414062,943.4616088867188,504.0989074707031,2376.510009765625,762.5442504882812,2178.41259765625,260.4454040527344,312.4703674316406,1234.93310546875,479.2590637207031,216.38528442382812,1057.887451171875,3102.711669921875,1689.58349609375,655.4268798828125,339.83819580078125,563.0689086914062,,2616.39111328125,116.48473358154297,797.4666748046875,1121.153076171875,205.64715576171875,205.16949462890625,74.74969482421875,1061.7437744140625,509.01470947265625,126.76154327392578,737.6862182617188,881.3806762695312,665.9757080078125,3800.802734375,100.43529510498047,5949.31640625,112.48692321777344,125.92216491699219,461.21954345703125,,14137.1279296875,213.235107421875,746.9357299804688,1131.9141845703125,116.33816528320312,448.76824951171875,259.4674072265625,447.7268981933594,381.48968505859375,348.9302978515625,3350.0400390625,201.72689819335938,,121.18856811523438,,,134.3000030517578,1427.9527587890625,522.2428588867188,811.8236694335938,131.37416076660156,83.59738159179688,311.74407958984375,150.7588653564453,98.9000015258789,502.9765625,100.80274963378906,357.9517822265625,72.14852905273438,393.6712646484375,449.36553955078125,208.6783447265625,143.3341064453125,184.49172973632812,89.67750549316406,462.2112121582031,398.6223449707031,236.00714111328125,130.68634033203125,713.8580322265625,,80.14469909667969,19.99587631225586,,807.9110107421875,502.62396240234375,,215.05137634277344,155.41912841796875,53.568603515625,155.89999389648438,12.449999809265137,766.5088500976562,,378.9814453125,335.95001220703125,102.48078155517578,127.72002410888672,,107.02245330810547,,43.389400482177734,518.47900390625,,119.91790008544922,,463.7585754394531,71.99626922607422,63.75,71.81336975097656,,441.00494384765625,,,304.8856201171875,59.533512115478516,550.3555297851562,578.1848754882812,510.66363525390625,562.6925048828125,381.739501953125,,266.5525817871094,131.70181274414062,682.3051147460938,13064.7900390625,1716.304443359375,,63.80034255981445,178.29244995117188,,56.304107666015625,1229.3824462890625,3439.47509765625,1087.18994140625,41.417266845703125,314.136962890625,202.25599670410156,287.1587219238281,360.95013427734375,781.4953002929688,60.773155212402344,551.3922119140625,157.808349609375,165.62496948242188,125.19999694824219,94.8469467163086,,60.07804489135742,294.1982116699219,798.731689453125,428.21221923828125
2016-06-28,198.9149932861328,949.1749267578125,503.6579895019531,2354.92919921875,762.6482543945312,2192.590087890625,263.83203125,317.7649841308594,1264.778564453125,487.39288330078125,220.03733825683594,1066.70263671875,3127.9892578125,1730.7335205078125,669.0050659179688,329.7362060546875,566.4668579101562,,2589.301025390625,114.78315734863281,824.3011474609375,1134.352783203125,206.04486083984375,210.6281280517578,77.21739959716797,1066.5616455078125,505.9376220703125,130.4656219482422,741.5770874023438,885.7672729492188,674.0144653320312,3851.415283203125,99.62751007080078,5991.7607421875,113.12922668457031,127.1077880859375,462.2572021484375,,13915.7041015625,212.00762939453125,738.5855102539062,1117.447021484375,118.09317016601562,440.2217102050781,260.30303955078125,444.4886474609375,379.9305725097656,349.6665344238281,3354.775146484375,199.6654510498047,,119.63102722167969,,,134.10000610351562,1463.435546875,521.906005859375,824.7461547851562,133.03770446777344,84.97134399414062,312.833740234375,153.29052734375,99.9000015258789,518.4261474609375,100.10540008544922,357.0596923828125,72.08792114257812,399.38385009765625,453.00787353515625,208.62985229492188,144.23898315429688,183.98245239257812,89.14734649658203,450.9692077636719,406.25482177734375,235.9151153564453,129.86473083496094,717.9761352539062,,81.05488586425781,21.909360885620117,,811.1431274414062,502.2121887207031,,215.8887176513672,154.8158416748047,53.616477966308594,158.85000610351562,12.699999809265137,769.7955322265625,,389.19482421875,359.5,108.83210754394531,130.9178009033203,,109.21761322021484,,42.95598602294922,523.2760620117188,,117.21436309814453,,481.1631164550781,71.86134338378906,66.0999984741211,74.25827026367188,,454.9935302734375,,,302.3542785644531,60.16828918457031,537.2459716796875,587.8973999023438,490.2748107910156,546.2197875976562,378.3824157714844,,264.2317199707031,130.79470825195312,697.3826904296875,13242.9072265625,1715.2476806640625,,64.29141235351562,182.0526123046875,,56.372005462646484,1243.0201416015625,3472.928955078125,1083.8995361328125,41.562591552734375,314.6239929199219,200.61468505859375,287.30401611328125,362.15057373046875,778.9132080078125,60.604801177978516,558.2080688476562,157.89849853515625,174.18914794921875,127.55000305175781,94.8818130493164,,62.47278594970703,297.27508544921875,792.0576171875,425.3886413574219
2016-06-29,199.0620574951172,962.7317504882812,507.43048095703125,2374.177001953125,761.5733032226562,2294.427001953125,264.496826171875,316.964111328125,1275.4791259765625,492.39080810546875,218.42202758789062,1070.0264892578125,3129.566162109375,1726.200439453125,671.2030639648438,336.7867736816406,571.7770385742188,,2706.01904296875,116.63058471679688,820.6334228515625,1152.4912109375,209.13796997070312,209.37063598632812,78.35359954833984,1082.88427734375,513.663330078125,132.1210174560547,751.05517578125,891.2655639648438,678.3927001953125,3901.037353515625,102.387451171875,5946.31787109375,114.94917297363281,130.21493530273438,466.6490173339844,,14138.7412109375,213.28421020507812,743.605224609375,1135.11181640625,119.80199432373047,447.0689392089844,262.0578918457031,447.99310302734375,386.3618469238281,351.9073486328125,3349.2998046875,204.13804626464844,,125.64551544189453,,,141.6999969482422,1460.8770751953125,527.4408569335938,835.4274291992188,136.13995361328125,85.01429748535156,312.9048156738281,152.79412841796875,100.05000305175781,529.79736328125,101.84475708007812,364.75006103515625,73.90603637695312,397.8936462402344,453.3566589355469,211.0546417236328,145.68287658691406,182.33921813964844,90.37078094482422,457.5577697753906,426.7991638183594,239.59625244140625,134.21449279785156,736.1755981445312,,82.92317962646484,23.296630859375,,825.2772216796875,497.3404541015625,,218.99185180664062,152.58828735351562,53.8558349609375,157.9499969482422,12.699999809265137,777.3005981445312,,404.1942443847656,363.45001220703125,108.04063415527344,131.82461547851562,,112.6535415649414,,43.19676971435547,520.4056396484375,,119.13892364501953,,481.36029052734375,76.04352569580078,66.5,74.25827026367188,,448.36492919921875,,,312.5771484375,60.939083099365234,538.8410034179688,588.4295654296875,498.12994384765625,549.457275390625,378.905517578125,,266.7500915527344,132.8923797607422,704.9213256835938,13407.49609375,1722.7388916015625,,65.39141845703125,180.0016326904297,,58.4259033203125,1256.51123046875,3508.79345703125,1076.2847900390625,42.434532165527344,315.3765869140625,202.87771606445312,290.9861755371094,364.4228515625,781.1265258789062,61.15194320678711,553.5498657226562,158.25909423828125,176.59738159179688,128.0500030517578,95.43633270263672,,62.86193084716797,302.7187805175781,802.3140869140625,433.2265625
2016-06-30,202.78744506835938,971.5436401367188,522.765625,2413.74853515625,792.3797607421875,2317.8896484375,268.96221923828125,326.3965148925781,1269.7491455078125,490.9698181152344,219.82666015625,1069.0631103515625,3231.82421875,1735.794921875,700.009765625,337.71142578125,575.7656860351562,,2724.621826171875,119.45033264160156,834.3292236328125,1157.1524658203125,212.58456420898438,210.5709686279297,78.29145812988281,1093.0120849609375,511.02252197265625,133.9273223876953,761.5806274414062,899.2576904296875,684.2303466796875,3953.8701171875,105.2147216796875,5990.4228515625,115.77882385253906,133.36302185058594,467.7349548339844,,14242.4287109375,214.85536193847656,736.65478515625,1157.87841796875,121.1875228881836,459.0640869140625,269.0355224609375,448.7028503417969,395.8625793457031,352.1954650878906,3364.836669921875,205.3896484375,,124.7349624633789,,,142.6999969482422,1450.3529052734375,552.3233032226562,828.3224487304688,136.2299041748047,84.45611572265625,314.1840515136719,152.84376525878906,101.25,523.7999877929688,101.56423950195312,366.5582275390625,77.39073181152344,402.0166015625,462.5400085449219,211.87908935546875,145.93319702148438,182.30078125,94.93824768066406,472.4856872558594,420.7549133300781,243.41543579101562,138.95089721679688,751.8070068359375,,82.68364715576172,23.105283737182617,,817.462646484375,503.28704833984375,,216.62754821777344,157.13624572753906,55.148380279541016,157.6999969482422,13.350000381469727,783.9228515625,,391.76055908203125,363.6499938964844,108.97867584228516,136.788330078125,,114.88053131103516,,43.533870697021484,527.71923828125,,117.076904296875,,481.85333251953125,75.45891571044922,67.8499984741211,75.69645690917969,,452.5706787109375,,,325.3314208984375,62.52602767944336,531.1148071289062,589.715576171875,492.292236328125,552.2185668945312,386.7893981933594,,267.93524169921875,133.1191864013672,707.56494140625,13452.1181640625,1742.1795654296875,,66.55036163330078,181.07595825195312,,58.884212493896484,1274.273681640625,3633.337158203125,1131.7978515625,43.93620681762695,322.2383728027344,200.06756591796875,299.9008483886719,369.05316162109375,782.4866943359375,61.74114990234375,542.9583129882812,158.0788116455078,178.9169464111328,128.3000030517578,98.17393493652344,,63.81982421875,305.0856628417969,815.0242919921875,444.47222900390625
2016-07-01,200.2875213623047,970.7689819335938,531.9765014648438,2396.96875,809.2743530273438,2351.036376953125,273.92926025390625,327.7757873535156,1292.4615478515625,498.41766357421875,217.7899169921875,1092.13720703125,3329.68603515625,1729.717529296875,696.64892578125,338.289306640625,574.8113403320312,,2731.30810546875,121.29774475097656,833.4471435546875,1146.7681884765625,212.40780639648438,216.35824584960938,84.2032699584961,1104.5655517578125,511.7207336425781,133.831298828125,751.6536865234375,926.9895629882812,700.0927124023438,3933.284423828125,105.51763916015625,6006.4306640625,120.4356689453125,135.03921508789062,469.81024169921875,,14556.96484375,215.6409454345703,736.8961791992188,1134.181884765625,124.60515594482422,457.7146301269531,274.17474365234375,453.7155456542969,395.4727783203125,358.8539733886719,3377.759521484375,205.73934936523438,,126.13674926757812,,,142.9499969482422,1472.60791015625,561.2269897460938,821.217529296875,139.15231323242188,85.35778045654297,317.9505615234375,155.4747314453125,104.19999694824219,527.1585693359375,101.93693542480469,372.9466857910156,80.02698516845703,420.2472229003906,463.74114990234375,211.78208923339844,151.57415771484375,188.0279998779297,98.24151611328125,476.3558654785156,429.2256164550781,245.85415649414062,138.08094787597656,747.3345336914062,,85.31842041015625,25.353626251220703,,808.68310546875,525.861328125,,219.82919311523438,162.89076232910156,56.48878860473633,159.25,13.149999618530273,785.9830932617188,,393.19140625,363.20001220703125,107.09281921386719,131.8723602294922,,112.78077697753906,,43.678340911865234,534.5217895507812,,118.58905029296875,,481.36029052734375,74.82933044433594,70.6500015258789,76.89495086669922,,455.9991760253906,,457.5124206542969,345.6311950683594,65.29188537597656,527.52587890625,597.742919921875,488.6866760253906,541.5540161132812,390.43182373046875,,276.9223327636719,137.4090576171875,704.9213256835938,13493.1484375,1750.8199462890625,,69.67359161376953,179.6597900390625,,61.006011962890625,1275.7298583984375,3812.1669921875,1153.1854248046875,44.905033111572266,327.727783203125,201.93270874023438,301.93572998046875,380.5003356933594,806.90185546875,62.582881927490234,558.3551025390625,158.5746307373047,177.63650512695312,131.75,97.34043884277344,,63.49054718017578,300.77801513671875,809.920654296875,440.3828430175781
2016-07-04,209.06173706054688,968.7355346679688,532.9073486328125,2380.41357421875,812.9555053710938,2347.9912109375,277.4915466308594,332.2250061035156,1307.4649658203125,499.9856872558594,223.3031768798828,1102.5421142578125,3282.761474609375,1760.1580810546875,687.1442260742188,345.9871826171875,573.9793701171875,,2708.804931640625,122.46453094482422,829.2222290039062,1159.5986328125,219.30099487304688,209.97079467773438,85.35722351074219,1089.078857421875,516.7620239257812,135.4676513671875,742.2256469726562,942.2826538085938,701.1932983398438,3941.2158203125,104.9791030883789,6023.31591796875,124.2093276977539,135.24363708496094,476.20501708984375,,14349.6875,218.97962951660156,744.0879516601562,1131.166015625,123.86621856689453,469.3099365234375,276.8070068359375,460.5469970703125,394.8881530761719,355.90887451171875,3372.368408203125,206.7700653076172,,128.50900268554688,,,143.75,1505.14599609375,558.4837036132812,824.6030883789062,140.81585693359375,83.98382568359375,321.0538635253906,158.6517333984375,109.4000015258789,540.0172119140625,102.15735626220703,374.7789001464844,83.66320037841797,412.24957275390625,477.7680969238281,219.05650329589844,153.57640075683594,185.2700958251953,99.05713653564453,482.5757751464844,426.9609375,230.25535583496094,137.8876190185547,754.9953002929688,,86.94718170166016,27.84115219116211,,850.6992797851562,517.5360717773438,,218.74557495117188,162.42669677734375,58.21217346191406,161.0,13.300000190734863,804.6233520507812,,397.6319885253906,367.1000061035156,107.27847290039062,131.7291717529297,,117.68016052246094,,44.6414794921875,540.5770263671875,,120.05538177490234,,477.7610778808594,75.99853515625,72.19999694824219,76.9428939819336,,457.919189453125,,466.9651794433594,341.8827819824219,70.50616455078125,527.1270751953125,596.1907348632812,483.79339599609375,565.7872314453125,384.1551208496094,,285.0700378417969,140.8296661376953,705.3618774414062,13418.1962890625,1780.6016845703125,,71.991455078125,183.61532592773438,,61.83775329589844,1281.01953125,3829.690673828125,1166.2059326171875,45.341007232666016,330.2069091796875,216.63003540039062,303.8736877441406,378.356689453125,813.0806884765625,63.04584503173828,563.9940185546875,158.75494384765625,176.489013671875,134.89999389648438,98.25762939453125,,63.64021682739258,303.7129211425781,817.3306884765625,449.5838928222656
2016-07-05,210.33619689941406,953.919677734375,528.8408203125,2343.93701171875,809.5518188476562,2310.950439453125,275.4344787597656,325.5956726074219,1305.324951171875,496.8497314453125,226.1124725341797,1097.43603515625,3297.62255859375,1754.667724609375,680.8353271484375,341.3869323730469,570.4556274414062,,2667.05615234375,120.22819519042969,826.575927734375,1163.7061767578125,216.6055908203125,208.81333923339844,84.73585510253906,1088.5872802734375,513.0520629882812,136.17091369628906,738.6838989257812,947.0897216796875,698.4657592773438,3940.791259765625,102.7240219116211,6027.83837890625,123.51348876953125,131.85031127929688,479.2937927246094,,14571.0634765625,219.4706268310547,747.6597900390625,1127.1298828125,123.68146514892578,460.7134094238281,278.8125305175781,457.13128662109375,391.623779296875,349.7625732421875,3338.7353515625,207.9664306640625,,128.9523162841797,,,144.60000610351562,1531.5045166015625,556.4622192382812,816.6874389648438,140.41119384765625,79.26081848144531,319.845703125,158.3042449951172,110.4000015258789,537.76220703125,102.17340087890625,370.4395446777344,84.48133850097656,404.10296630859375,468.4684753417969,222.59671020507812,155.27059936523438,184.50132751464844,101.7079086303711,488.1046142578125,430.7403564453125,203.15293884277344,135.32611083984375,745.3861694335938,,88.57593536376953,32.146484375,,881.2348022460938,514.9058837890625,,219.48440551757812,158.29641723632812,57.446224212646484,159.60000610351562,13.949999809265137,809.283447265625,,398.66815185546875,362.6499938964844,104.75749969482422,128.865478515625,,117.87102508544922,,44.256229400634766,533.7352905273438,,117.5351333618164,,472.6827087402344,76.49320983886719,73.0,75.02530670166016,,455.9991760253906,,455.0503845214844,344.99835205078125,69.10057067871094,506.9392395019531,601.6458740234375,483.3641357421875,559.16943359375,383.4798583984375,,275.9841613769531,141.47218322753906,695.2286987304688,13222.8525390625,1778.855224609375,,73.5825424194336,186.00816345214844,,63.43336486816406,1271.9442138671875,3809.388916015625,1157.134033203125,46.01918411254883,328.25897216796875,216.0829315185547,296.8970031738281,378.8712158203125,800.1469116210938,62.540802001953125,559.0906372070312,156.5011749267578,175.15933227539062,134.5500030517578,98.892333984375,,63.041534423828125,307.8785400390625,833.8197021484375,449.7786560058594
2016-07-07,205.92459106445312,956.4375,536.30810546875,2342.50146484375,802.1846313476562,2320.086181640625,279.4858703613281,323.3265380859375,1292.8526611328125,504.0035400390625,221.61758422851562,1081.9249267578125,3368.58154296875,1769.2694091796875,682.7182006835938,331.5392150878906,580.2682495117188,,2659.855224609375,124.16610717773438,852.6676025390625,1191.2598876953125,216.38465881347656,211.7712860107422,84.03462219238281,1086.915771484375,505.10821533203125,134.5161895751953,744.171142578125,934.1103515625,697.0782470703125,3910.339111328125,102.92597961425781,6007.908203125,121.29209899902344,133.5674285888672,476.78411865234375,,15162.734375,216.08282470703125,751.2315673828125,1101.9595947265625,124.18949890136719,454.9657287597656,265.4840087890625,447.6382141113281,392.5494689941406,354.85247802734375,3345.906982421875,205.9970245361328,,128.78457641601562,,,149.64999389648438,1534.15966796875,558.6279907226562,797.232421875,135.2407684326172,79.90486145019531,319.3245544433594,157.01358032226562,109.44999694824219,529.7493896484375,101.78864288330078,357.71063232421875,84.81466674804688,409.91485595703125,473.69952392578125,223.61512756347656,156.07920837402344,185.4526824951172,99.22026824951172,469.260498046875,431.16680908203125,209.73297119140625,134.89111328125,730.3306274414062,,88.62384033203125,31.715951919555664,,895.4171752929688,501.06866455078125,,215.24838256835938,163.3548583984375,57.446224212646484,159.4499969482422,13.75,803.4461059570312,,401.6285400390625,367.8500061035156,106.27202606201172,127.00408935546875,,118.92089080810547,,45.65277862548828,531.3760375976562,,117.9475326538086,,467.7029113769531,75.81867218017578,71.05000305175781,74.21033477783203,,455.3592224121094,,445.1139831542969,340.7631530761719,71.54902648925781,496.5711669921875,584.837158203125,485.6390686035156,562.5494995117188,382.1864929199219,,287.6871643066406,139.2233123779297,693.319580078125,12974.2392578125,1793.8839111328125,,73.72003173828125,183.95716857910156,,62.4997673034668,1286.16357421875,3751.8759765625,1140.3531494140625,45.63165283203125,337.8655700683594,211.65631103515625,289.9203186035156,375.2269592285156,789.8642578125,61.90950012207031,565.1219482421875,155.4193572998047,174.3319854736328,132.85000610351562,97.92631530761719,,62.712257385253906,298.7425231933594,828.6669921875,436.0501403808594
