Portfolio,Return,Volatility,Sharpe Ratio,VaR,Portfolio Beta,Treynor Ratio,Jensen Alpha
Portfolio 1,1.008116387,0.34693703,2.732243328,0.201020164,0.928037758,1.021420065,0.865170673
Portfolio 2,0.986688439,0.331190892,2.797445401,0.21622321,0.924890266,1.001727959,0.844023362
